firstname;lastname;street;city;zip;country
Buffy;Clayton;7545 Bibendum. Ave;Lansing;97730;Barbados
Fay;Graves;262-8992 Interdum Road;Miami Beach;35311;Dominica
Xantha;Kramer;1323 Ligula. St.;Villa Park;67645;Algeria
Howard;Middleton;Ap #776-2114 Magnis Ave;Santa Barbara;73036;Burkina Faso
Kareem;Todd;328-9813 A, St.;Hutchinson;R1Y 4K4;Hong Kong
Salvador;Burton;Ap #527-8039 Donec Rd.;Merced;O8E 8O2;Hong Kong
Isabelle;Hendricks;Ap #464-1423 Est. Ave;Somersworth;D8M 6H8;Holy See (Vatican City State)
Idola;Mcgowan;P.O. Box 808, 7204 Feugiat. St.;Connellsville;P4G 2Q6;Mongolia
April;Becker;502-5678 Condimentum Ave;Mesa;30169;Mali
Aspen;King;Ap #379-9568 Proin Street;Rome;51877;Malaysia
Elijah;Sellers;Ap #145-603 Praesent Rd.;Brookings;64671;Malta
Fuller;Cooke;653-1753 Pulvinar Av.;Honolulu;V9M 7R2;Egypt
Walker;Branch;Ap #905-6029 Quam. Rd.;Rolla;22103;Panama
Hadley;Marks;3506 Luctus Street;Hoover;S3J 2Y0;Lesotho
Clayton;Waters;309-9450 Hendrerit St.;Boise;43253;Montserrat
Dominique;Quinn;1627 Enim. Avenue;Grafton;O1P 9H5;Trinidad and Tobago
Rafael;Ramos;3496 Tristique Road;Muncie;45178;Sao Tome and Principe
Callum;Henson;Ap #138-8710 Sapien. Avenue;Pottsville;G3L 8E7;Guyana
Ariel;Lane;9203 Dolor. Avenue;Easton;R7B 8M8;Netherlands Antilles
MacKenzie;Fisher;7120 Orci Rd.;Hermosa Beach;06854;Algeria
Elizabeth;Scott;9852 Nullam Av.;Passaic;21592;Haiti
Hermione;Branch;702-5361 Elit. St.;DuBois;X8M 5R0;Yemen
Mia;French;P.O. Box 790, 7311 Sem. Ave;Santa Fe;99191;Marshall Islands
Erasmus;Faulkner;Ap #298-8526 Sed Street;Twin Falls;77033;Benin
Elmo;Becker;5354 Eget St.;Tallahassee;35436;Hong Kong
Jocelyn;Day;293 Aliquet Ave;Joliet;83560;Pakistan
Vincent;Huffman;Ap #259-3493 Lorem Street;Frederiksted;28073;Grenada
Hyatt;Powers;641-4304 Elementum, Rd.;Kokomo;L3J 1Z4;Paraguay
Teegan;Thornton;676-4828 Lectus St.;Providence;S6K 4X7;Swaziland
Marny;Mccall;P.O. Box 929, 5425 Felis St.;Dalton;W6J 8A0;Romania
Vera;Lawson;P.O. Box 410, 806 Proin Road;Lowell;Q9M 5Q3;Christmas Island
Dakota;Schultz;Ap #826-6306 Vel Road;Bloomington;24525;Denmark
Charles;Bates;P.O. Box 501, 6079 Nunc Rd.;Pueblo;G6Z 8H2;Virgin Islands, U.S.
Kasimir;Burns;622 Posuere Avenue;Miami;77420;United States Minor Outlying Islands
Jane;Cummings;Ap #286-206 Enim Rd.;Green Bay;55543;Switzerland
Quamar;Graham;Ap #375-7570 Dapibus Av.;Ogdensburg;73616;Oman
Azalia;Bird;Ap #667-2947 Enim St.;Norton;21576;Uzbekistan
Martena;Hamilton;921-3351 Diam. St.;Ames;17988;Mauritania
Juliet;West;P.O. Box 334, 259 Pede, Road;Garland;95053;Oman
Keaton;Woodard;P.O. Box 378, 7534 Arcu Av.;Glendale;I5B 3J9;South Africa
Sonya;Terry;7102 Luctus Street;Elko;P3V 7V1;Gibraltar
Gregory;Cameron;P.O. Box 720, 9539 Ornare St.;Laramie;H1C 5J0;Guam
Daquan;Valdez;5160 Imperdiet, Rd.;Rolling Hills;D1Y 8W0;British Indian Ocean Territory
Dahlia;Crosby;278-3924 Donec Road;Sioux City;R8H 2F3;Martinique
Jaquelyn;Day;P.O. Box 880, 7230 Urna. Avenue;Columbus;71761;Turkmenistan
Shaeleigh;Hayes;6242 Facilisis Street;Orangeburg;83415;Oman
Ivor;Best;179-7574 Sagittis Ave;Farrell;92500;Central African Republic
Davis;Wolfe;365-4113 Gravida Rd.;Ansonia;08249;Singapore
Blossom;Horton;P.O. Box 362, 3360 Eros. Street;Tacoma;18868;United Kingdom
Sopoline;Cabrera;3344 Tincidunt, Av.;Cleveland;J2E 2K6;Costa Rica
Colleen;Powers;7836 Sed St.;Hastings;R9L 5V1;Guatemala
Priscilla;Alford;2795 Lectus Ave;Alhambra;L4F 6P6;Eritrea
Renee;Short;9827 Curabitur Rd.;Douglas;H9G 7J0;Thailand
Pandora;Sheppard;Ap #802-5130 Mollis Street;Mason City;99064;Paraguay
Steel;Ferrell;Ap #516-8593 Ligula. Av.;Williston;18082;Belize
Preston;Wyatt;P.O. Box 511, 4335 Maecenas Rd.;Rancho Santa Margarita;27933;Holy See (Vatican City State)
Alvin;Clark;P.O. Box 469, 478 Magna Rd.;Tustin;U1G 8Y5;Tunisia
Nevada;Kinney;Ap #363-7782 Elementum, Road;La Puente;B2E 4M5;Japan
Marsden;Dotson;Ap #150-6064 Non, Ave;Aurora;63658;Mexico
Emily;Fuentes;P.O. Box 728, 4290 Justo Rd.;Louisville;46181;Saint Lucia
Florence;Rosa;695-4058 Amet, Road;Binghamton;27093;Spain
Jolie;Morrison;274-5975 Ut Avenue;Port Orford;51370;Malaysia
Kamal;Hebert;Ap #830-1817 Cum Rd.;Champaign;84683;Zambia
Olga;Sanford;Ap #939-744 Pede. Av.;Fort Dodge;78816;Uganda
Nadine;Carter;Ap #172-8259 Ridiculus St.;Simi Valley;S7Q 4P9;Guinea
Galvin;Riley;946-2826 Lacus. St.;San Antonio;06423;Guam
Tana;Hunter;P.O. Box 793, 7296 Nisl. Avenue;West Springfield;46682;Montserrat
Chester;Molina;8446 Iaculis St.;Catskill;Q7E 3E3;Myanmar
Kaye;Duke;P.O. Box 271, 9853 Malesuada St.;Terre Haute;Z4V 6E1;Congo
Gisela;Ray;Ap #470-7034 Non Rd.;Port Arthur;L8I 6G9;Bouvet Island
Joshua;Alexander;P.O. Box 390, 5457 Libero Rd.;Great Falls;W2Y 1H1;Hong Kong
Anjolie;Park;P.O. Box 690, 3696 Ac, Rd.;Charlotte Amalie;G5R 5L8;Virgin Islands, U.S.
Irma;Carpenter;256-9896 Id Rd.;Saipan;E7C 5V4;Malawi
Kendall;Houston;P.O. Box 587, 8073 Cursus. Rd.;Compton;28276;Djibouti
Casey;Shannon;141-8001 Metus. Av.;Berkeley;Z8F 4Q6;Viet Nam
Camille;Calderon;P.O. Box 718, 6173 Aliquet, Av.;Jefferson City;X3S 6Z9;Slovenia
Sacha;Shepard;4183 Duis St.;Crown Point;39186;Switzerland
Raven;Richards;Ap #302-6217 Aliquam Avenue;Columbia;00987;United States Minor Outlying Islands
Rana;Logan;P.O. Box 908, 5106 Ligula. Rd.;Milwaukee;M9C 6T7;Madagascar
Kiona;Jennings;P.O. Box 764, 1091 Blandit Rd.;Douglas;E4J 1B2;Senegal
Lucian;Benton;9106 Urna Ave;Gatlinburg;K3E 1B8;Mongolia
Levi;Gonzales;854-1855 Aliquam St.;Norfolk;J9O 4A8;Burundi
Martha;Wagner;4660 Turpis Road;Redding;80190;Albania
Kaden;Murphy;Ap #780-4499 Quam Rd.;Tyler;R3J 3Q3;Botswana
Rashad;Bartlett;949-7984 Orci Road;Coral Springs;62052;Australia
Axel;Wade;Ap #248-1435 Eget Ave;Monongahela;88904;Gabon
Cassidy;Espinoza;Ap #836-1722 Aliquet St.;Huntington Beach;B1F 2Q5;Cayman Islands
Octavia;Holman;P.O. Box 768, 5499 Et, Road;Palm Springs;J5F 4A5;Moldova
Eagan;Thomas;Ap #966-2987 Mi Av.;Racine;J9E 9M3;Pitcairn
Tatiana;Tillman;Ap #696-6763 Sed Avenue;Watervliet;F2L 2S0;Lesotho
Lester;Russell;6709 Ligula. Street;Athens;09904;Falkland Islands (Malvinas)
Noelani;Green;843-4966 Eu, Av.;Arlington;52994;New Caledonia
Veronica;Vaughn;579-5115 Fermentum Ave;Weymouth;39529;Antarctica
Kimberly;Park;Ap #777-5636 Eu Ave;Anchorage;35024;Jordan
Tanisha;Harvey;P.O. Box 703, 6511 Mauris St.;North Platte;29672;Nauru
Rylee;Rivas;Ap #857-9701 Diam. St.;Baytown;73376;Sweden
Colorado;Lynn;Ap #448-2652 Pellentesque Rd.;Frederiksted;X5Z 5I2;Brazil
Caleb;Wise;351-3408 Vel Road;Meriden;C9N 8P3;Bangladesh
Candace;Moran;P.O. Box 926, 1442 Ante Av.;Barrow;60392;Kenya
Burke;Day;Ap #253-8391 Lacus, Rd.;Elko;Y2W 8V2;Switzerland
Yoshio;Stout;4410 Natoque Av.;Warwick;26055;Ecuador
Alfreda;Pratt;P.O. Box 275, 997 Lobortis Avenue;Berkeley;K1R 3U5;Liberia
Marsden;Justice;350-6010 Mauris St.;Derby;V8G 4L4;Kazakhstan
Chadwick;Wilson;P.O. Box 516, 5036 Nulla. Road;Norman;53128;Nauru
Vielka;Frank;Ap #335-6999 Dolor. St.;Shawnee;56791;Dominican Republic
Hunter;Ferguson;Ap #459-2569 Primis Av.;Corpus Christi;D7J 3Z1;Svalbard and Jan Mayen
Veronica;Joseph;P.O. Box 183, 7347 Tellus St.;Twin Falls;25326;Morocco
Matthew;Wheeler;Ap #297-6926 Ut Road;Stamford;U6P 1O7;Togo
Joshua;Emerson;830-2712 In Rd.;Eau Claire;N8T 7N3;Israel
Jemima;Chapman;603-9940 Nunc St.;North Las Vegas;O3K 2A2;Nepal
Eric;Alston;4176 Luctus, Rd.;Tustin;Y7Z 7G3;Cameroon
Oleg;Kennedy;5894 Convallis Av.;Spokane;94735;Slovakia
Martina;Carney;782-4910 Non, Rd.;Plainfield;76473;Northern Mariana Islands
Ali;Little;Ap #316-4103 Feugiat Rd.;Champaign;Y1N 7L0;Libyan Arab Jamahiriya
Beverly;Clayton;429-2589 Nulla. Ave;Clarksburg;Z8L 7F0;Peru
Peter;Jones;Ap #665-4685 Arcu. Street;Savannah;53203;Saint Kitts and Nevis
Brenna;Lawson;7226 Metus. Av.;Carrollton;T1A 2U2;Fiji
Jenette;Whitfield;541-3330 Phasellus Ave;Redlands;W3Q 2I9;Tanzania, United Republic of
Irma;Kelly;952-4698 Faucibus Street;Oneida;56838;Chile
Rudyard;Shepherd;P.O. Box 495, 8454 Quis, Rd.;St. Petersburg;71384;Ghana
Odysseus;Vazquez;382-8990 Eget Avenue;Port Jervis;52646;Luxembourg
Meredith;Howell;4704 Pellentesque Rd.;Barrow;38541;Heard Island and Mcdonald Islands
Xavier;Key;152-1512 Non, Avenue;Norman;86512;Argentina
Quynn;Rasmussen;P.O. Box 393, 2002 Pretium Street;Midwest City;A8E 5J3;Tuvalu
Garth;Simpson;P.O. Box 179, 3839 Ut Street;Santa Fe;G4P 4R6;Cambodia
Hop;Gomez;Ap #611-837 Aliquam Rd.;Bartlesville;92135;Antigua and Barbuda
Mollie;Hoover;Ap #238-2994 Netus Avenue;Irwindale;N8U 9M4;Austria
Thane;Robles;102-4942 In Road;Lubbock;47673;Qatar
Jason;Roman;946-6787 Laoreet, Road;Scranton;F6Y 1D3;Cayman Islands
Andrew;Carroll;Ap #644-9567 Faucibus Rd.;Burlingame;K8W 2F5;Oman
Alan;Haley;751-2496 Orci Road;Klamath Falls;83007;Congo
Belle;Townsend;Ap #469-5249 Ultricies Rd.;Niagara Falls;95417;Aruba
Rebekah;Reynolds;P.O. Box 767, 5670 Nunc Av.;Jeannette;M3P 5J3;Romania
Jane;Dillon;9463 Cras St.;Melrose;N5X 9P6;Armenia
Hayley;Hart;Ap #289-7945 Aliquam, Street;Agawam;H3Z 8R3;Mali
Cameron;Mathews;117-7317 Ut St.;Pittsburgh;25582;Morocco
Chloe;Merrill;P.O. Box 347, 2257 Et Road;Corvallis;55632;Afghanistan
Shaine;Hale;Ap #901-9413 Commodo Avenue;Fallon;44102;Indonesia
Marshall;Kelley;2392 Nulla Ave;Woodruff;L6Q 9I9;China
Gareth;Romero;Ap #205-8036 Integer Avenue;Ogdensburg;K2X 6F1;Zambia
Shaeleigh;Oliver;Ap #330-5442 Cras Rd.;Rancho Santa Margarita;23653;Sudan
TaShya;Bruce;5165 Nulla Av.;Muskogee;X9Q 8O8;Afghanistan
Kylynn;Nixon;P.O. Box 358, 8468 Nunc Rd.;Rosemead;N9K 2N7;Angola
Hilary;Sawyer;Ap #937-7986 Dolor St.;Brownsville;77635;Northern Mariana Islands
Uriel;Dickson;670-3643 At, Rd.;Des Moines;82007;Samoa
Blair;Burns;306-4619 Magna. Rd.;Brown Deer;H9C 9G6;Netherlands
Chastity;Terry;640-689 Proin Ave;Mount Vernon;Y8I 1N0;Burkina Faso
Malik;Newton;1332 Vestibulum Avenue;Beckley;L9I 4G9;Algeria
Imani;Suarez;P.O. Box 618, 1973 Imperdiet St.;Sioux City;16111;Cuba
Finn;Robbins;Ap #804-1216 Et Avenue;Sandy Springs;O7J 9A3;United Kingdom
Isabella;Davenport;539-7636 Neque Rd.;Fort Wayne;X9M 1C6;Hungary
Sigourney;Mccarty;552-3961 Maecenas Rd.;High Point;E7Z 2C9;Netherlands
Eric;Savage;959-860 Ipsum. Ave;Nichols Hills;01907;Greece
Whitney;Hale;Ap #311-9342 Curae; Rd.;Cairo;C8G 3Y1;Trinidad and Tobago
David;Wilson;142-1032 Quisque St.;Vallejo;10828;Christmas Island

